company,industry,comment,alimnu_number,employees_number,total_assets,has_base_in_usa,passed,is_test_offer_company,current_base,offer_charm_star
paypal,an American multinational financial technology company operating an online payments system in the majority of countries that support online money transfers; it serves as an electronic alternative to traditional paper methods such as checks and money orders,not so requirements on jd,64,"24,400",$81.6 billion,1,0,0,sgp,5
Airwallex,Founded in 2015 in Melbourne. Australia and currently headquartered in Singapore. the company's platform provides global payments through its application programming interface (API) and proprietary financial infrastructure. Services and products include business accounts. expense cards. and payroll. among others. It expanded into investment products in 2023,interested and many offer matched.include data,54,1.8k,$6.2 billion,1,0,0,sgp,5
Goldman Sachs,an American multinational investment bank and financial services company,interested and data offer supplied as well,48,,$122 billion,1,0,1,sgp,5
Honeywell, an American publicly traded. multinational conglomerate corporation headquartered in Charlotte. North Carolina. It primarily operates in four areas of business: aerospace. building automation. industrial automation. and energy and sustainability solutions (ESS),interested,46,102k,$18.6 billion,1,0,0,sgp,5
Capgemini,Capgemini SE is a French multinational information technology (IT) services and consulting company. headquartered in Paris. France,,20,34k,€3.7 billion,1,0,0,sgp,5
Mastercard,American multinational payment card services corporation headquartered in Purchase. New York. It offers a range of payment transaction processing and other related-payment services (such as travel-related payments and bookings). Throughout the world. its principal business is to process payments between the banks of merchants and the card-issuing banks or credit unions of the purchasers who use the Mastercard-brand debit. credit and prepaid cards to make purchases. Mastercard has been publicly traded since 2006,interested,16,35k,$48.1 billion ,1,0,0,sgp,5
autodesk,an American multinational software corporation that provides software products and services for the architecture. engineering. construction. manufacturing. media. education. and entertainment industries. Autodesk is headquartered in San Francisco. California,A great company.its products focus on animation and industry software.especially its product Autocad is famous cad standard implemention,14,15k,$10.8 billion10.8 billion,1,0,0,sgp,5
tiktok,data trans to data and ai/ml,i can do something more,1281,,,1,0,0,sgp,4
Shopee,a Singaporean multinational technology company that specializes in e-commerce,interested and data offer supplied as well,222,,,0,0,0,sgp,4
okx,blockchain technology company that operates the second-largest cryptocurrency exchange in terms of daily trading volume. and provides access to decentralized finance (DeFi) through its OKX Wallet,busy from their principles;only sgp site;trade and im department,103,5k,,0,0,0,sgp,4
Deloitte,is a multinational professional services network based in London. United Kingdom. It is the largest professional services network in the world by revenue and number of employees. and is one of the Big Four accounting firms. along with EY. KPMG. and PwC,not so interested not so matched like microsoft servers implementioner. but probably rebase usa,63,,$67.2 billion revenue no total equal data,1,0,0,sgp,4
